Dose,Days,pH(KCl),S(w),Ca (w),Fe(w),Zn (w),Sr(w),Ba(w),P(w),K(w),Na (w),Mg(w),F(w),S(m),Ca (m),Fe(m),Zn (m),Sr(m),Ba(m),P(m),K(m),Na (m),Mg(m),FDA,AP,URE,DHA,SIR,SBR,E.fetida,S.alba ,A.sativa ,FDA_n,AP_n,URE_n,DHA_n,SIR_n,SBR_n,E.fetida_n,S.alba _n,A.sativa_n
0,7,6.5,0,67.7,5,0,1.3,0,3.4,17.1,19.9,26.4,0.16,0,906.9,1.1,3.7,5.9,5.8,2.6,31.9,1,68.9,19.81339517,200.1356285,428.1291513,31.23510295,5.267,1.7,10,4.5,2.1,54.76339184,90.55910791,89.69436674,100,96.99815838,90.42553191,100,87.890625,58.33333333
0,7,6.5,0,67.7,5,0,1.3,0,3.4,17.1,19.9,26.4,0.16,0,906.9,1.1,3.7,5.9,5.8,2.6,31.9,1,68.9,20.96438078,201.1917532,371.2454611,21.47830343,5.2,1.67,10,3.89,2,57.94466771,91.03699239,77.77705965,68.76335085,95.76427256,88.82978723,100,75.9765625,55.55555556
0,7,6.4,0,67.7,5,0,1.3,0,3.4,17.1,19.9,26.4,0.16,0,906.9,1.1,3.7,5.9,5.8,2.6,31.9,1,68.9,22.60864594,195.3830674,405.9089598,16.59990367,5.43,1.71,10,4.71,2.21,62.48934753,88.40862778,85.03916866,53.14502627,100,90.95744681,100,91.9921875,61.38888889
0,7,6.5,49.967,70.793,4.98,0,0.682,0.161,2.929,15.011,17.208,25.326,0.1541,0,935.601,2.959,3.567,5.164,5.738,0,35.453,0.843,104.197,22.36690253,151.2155236,311.2608517,12.92443671,3.621,1.866,10,4.2,2.7,61.82117891,68.42331387,65.21010051,41.37792255,66.68508287,99.25531915,100,82.03125,75
0,7,6.4,49.967,70.793,4.98,0,0.682,0.161,2.929,15.011,17.208,25.326,0.1541,0,935.601,2.959,3.567,5.164,5.738,0,35.453,0.843,104.197,25.19815601,151.6696243,311.2608517,12.74186419,3.61,1.88,10,4.35,2.63,69.64664459,68.62878928,65.21010051,40.79341187,66.4825046,100,100,84.9609375,73.05555556
0,7,6.5,49.967,70.793,4.98,0,0.682,0.161,2.929,15.011,17.208,25.326,0.1541,0,935.601,2.959,3.567,5.164,5.738,0,35.453,0.843,104.197,22.27252741,158.4811344,323.2715165,16.39331444,3.42,1.76,10,4.11,3,61.56033005,71.71092054,67.72637151,52.48362547,62.98342541,93.61702128,100,80.2734375,83.33333333
0,7,6.5,46.362,75.56,4.607,0.285,0.746,0.167,3.504,19.775,24.294,26.574,0.1898,0,706.362,0,2.921,3.983,5.351,0,29.96,0,66.859,24.9787372,169.9974335,432.4866439,20.78645942,4.051,1.086,10,5,3.4,69.0401802,76.92191561,90.60727477,66.54839415,74.60405157,57.76595745,100,97.65625,94.44444444
0,7,6.5,46.362,75.56,4.607,0.285,0.746,0.167,3.504,19.775,24.294,26.574,0.1898,0,706.362,0,2.921,3.983,5.351,0,29.96,0,66.859,24.87636532,169.0684858,447.9928831,27.0659535,4.11,1.05,10,5.12,2.89,68.75722864,76.50157727,93.8558793,86.65235889,75.69060773,55.85106383,100,100,80.27777778
0,7,6.4,46.362,75.56,4.607,0.285,0.746,0.167,3.504,19.775,24.294,26.574,0.1898,0,706.362,0,2.921,3.983,5.351,0,29.96,0,66.859,25.79771219,172.7842767,438.8715659,23.11884294,4,1.11,10,4.55,3.11,71.30379266,78.18293062,91.94493546,74.01558105,73.66482505,59.04255319,100,88.8671875,86.38888889
0,28,6.4,70.92019652,74.69127606,7.570043819,0.4340725,0.774266366,0.172752622,2.966405524,18.93506838,18.27114593,23.99415748,0.1196,0,779.5391887,0.207365104,6.313509256,5.125049232,11.37258763,2.018511225,45.37219378,0,47.00669555,31.14,189.01,311.2,22.11,4.2,0.58,10,4.21,2,86.06965174,85.52488688,65.19735188,70.78574397,77.3480663,30.85106383,100,82.2265625,55.55555556
